"","Simulation","Round","Agent","Choice","Reward","Expectation1","Expectation2","Expectation3","Project1_Tasks","Project2_Tasks","Project3_Tasks","Project1_Rewards","Project2_Rewards","Project3_Rewards","Project1_Work","Project2_Work","Project3_Work","alpha","beta","nAgents","nProjects","nTasks","nRounds"
"135",1,8,9,3,0.916316223196156,0.944684647459847,0.317014764994383,0.947597730664235,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"136",1,8,10,1,0.916316223196156,0.945058987647799,0.914537141974743,0.926629528703066,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"137",1,8,11,2,1,0.922720351283016,0.971964363949955,0.642784833209589,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"138",1,8,12,1,0.916316223196156,0.93197513700744,0.952632792069653,0.786927298177034,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"139",1,8,13,1,0.916316223196156,0.944901487361649,0.633518795264385,0.915559297612936,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"140",1,8,14,3,0.916316223196156,0.893100031084131,0.94066691345231,0.946281770640304,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"141",1,8,15,2,1,0.766070471125609,0.970236574002119,0.922654077097003,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"142",1,8,16,3,0.916316223196156,0.883754481248191,0.94670521836904,0.928162365826247,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"143",1,8,17,3,0.916316223196156,0.812453967464181,0.782578934743035,0.946918324899777,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"144",1,8,18,3,0.916316223196156,0.310712668811902,0.861344240021271,0.947056301910813,250,252,254,6.41421356237309,4,6.41421356237309,7,4,7,0.5,0.3,18,3,300,50
"145",1,9,1,3,1,0.351739175617695,0.885294135629212,0.972684792313925,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"146",1,9,2,3,1,0.924844503635063,0.703466048336968,0.972203972941532,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"147",1,9,3,1,1,0.972273050234421,0.711410777507986,0.936817949906634,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"148",1,9,4,1,1,0.970675974230659,0.906890137379526,0.263727635145187,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"149",1,9,5,2,0.916316223196156,0.948259519873506,0.934862394614876,0.696319607784972,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"150",1,9,6,2,0.916316223196156,0.813184759702606,0.94405992859167,0.118368917144835,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"151",1,9,7,2,0.916316223196156,0.939345022606415,0.943036145789775,0.10058200894855,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"152",1,9,8,1,1,0.972245648294106,0.914046334172189,0.936465639207782,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"153",1,9,9,3,1,0.972895477255325,0.317014764994383,0.973798865332117,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"154",1,9,10,1,1,0.9725294938239,0.915070866341167,0.948640670092146,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"155",1,9,11,2,0.916316223196156,0.945904245898111,0.944140293573056,0.642784833209589,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"156",1,9,12,2,0.916316223196156,0.952382595905208,0.934474507632905,0.786927298177034,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"157",1,9,13,1,1,0.972450743680825,0.718358023643916,0.940891508329055,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"158",1,9,14,3,1,0.925170021758892,0.933361706375464,0.973140885320152,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"159",1,9,15,2,0.916316223196156,0.766070471125609,0.943276398599138,0.945857853967902,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"160",1,9,16,2,0.916316223196156,0.883754481248191,0.931510720782598,0.949713656078373,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"161",1,9,17,3,1,0.812453967464181,0.822700121278971,0.973459162449888,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"162",1,9,18,3,1,0.310712668811902,0.861344240021271,0.973528150955406,245,245,248,5,6.41421356237309,6,5,7,6,0.5,0.3,18,3,300,50
"163",1,10,1,3,0.84150635094611,0.351739175617695,0.885294135629212,0.907095571630017,237,243,240,6.73205080756888,2,6.73205080756888,8,2,8,0.5,0.3,18,3,300,50
"164",1,10,2,3,0.84150635094611,0.899843057828377,0.703466048336968,0.906855161943821,237,243,240,6.73205080756888,2,6.73205080756888,8,2,8,0.5,0.3,18,3,300,50
